slot_id,table,table_label,task_family,config,config_slug,trial,trial_index,n_trials,model,harness,effort,arm,arm_confidence,arm_evidence,outcome,label_confidence,label_confidence_autoparse,label_adjudicated,self_report_disagrees_with_audit,accounting,time_min,tokens_k,cost_usd,session_stamp,still_id,image_480,image_960
towel-sequential-t01,table1,Table 1 (main results),Towel folding,"Towel folding, sequential",towel_sequential,01,1,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit success,explicit success,no,no,recorded,61.62632863124212,17584.935,27.98027,20260908_204543,towel-sequential-t01,img/trials/towel-sequential-t01_480.webp,img/trials/towel-sequential-t01_960.webp
towel-sequential-t02,table1,Table 1 (main results),Towel folding,"Towel folding, sequential",towel_sequential,02,2,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit success,explicit success,no,no,recorded,50.74035566647847,18582.003,23.534894,20260908_220219,towel-sequential-t02,img/trials/towel-sequential-t02_480.webp,img/trials/towel-sequential-t02_960.webp
towel-sequential-t03,table1,Table 1 (main results),Towel folding,"Towel folding, sequential",towel_sequential,03,3,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit success,explicit success,no,no,recorded,44.57361093362172,19060.277,24.141866,20260909_110329,towel-sequential-t03,img/trials/towel-sequential-t03_480.webp,img/trials/towel-sequential-t03_960.webp
towel-sequential-t04,table1,Table 1 (main results),Towel folding,"Towel folding, sequential",towel_sequential,04,4,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit failure,explicit failure,no,yes,recorded,63.32190876801808,25262.073,30.901466,20260909_115607,towel-sequential-t04,img/trials/towel-sequential-t04_480.webp,img/trials/towel-sequential-t04_960.webp
towel-sequential-t05,table1,Table 1 (main results),Towel folding,"Towel folding, sequential",towel_sequential,05,5,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit success,explicit success,no,no,recorded,33.791317733128864,10125.607,14.158174,20260909_132848,towel-sequential-t05,img/trials/towel-sequential-t05_480.webp,img/trials/towel-sequential-t05_960.webp
towel-simultaneous-t01,table1,Table 1 (main results),Towel folding,"Towel folding, simultaneous",towel_simultaneous,01,1,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",failure,unclear,unclear,no,no,recorded,14.01511073509852,3825.322,5.8635,20260909_142704,towel-simultaneous-t01,img/trials/towel-simultaneous-t01_480.webp,img/trials/towel-simultaneous-t01_960.webp
towel-simultaneous-t02,table1,Table 1 (main results),Towel folding,"Towel folding, simultaneous",towel_simultaneous,02,2,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit success,explicit success,no,no,recorded,15.661139166355133,4269.727,6.156566,20260909_144354,towel-simultaneous-t02,img/trials/towel-simultaneous-t02_480.webp,img/trials/towel-simultaneous-t02_960.webp
towel-simultaneous-t03,table1,Table 1 (main results),Towel folding,"Towel folding, simultaneous",towel_simultaneous,03,3,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",failure,unclear,explicit success,yes,no,recorded,27.599831998348236,8929.19,12.732572,20260909_150832,towel-simultaneous-t03,img/trials/towel-simultaneous-t03_480.webp,img/trials/towel-simultaneous-t03_960.webp
towel-simultaneous-t04,table1,Table 1 (main results),Towel folding,"Towel folding, simultaneous",towel_simultaneous,04,4,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit success,explicit success,no,no,recorded,31.208451950550078,5683.838,8.668748,20260909_154653,towel-simultaneous-t04,img/trials/towel-simultaneous-t04_480.webp,img/trials/towel-simultaneous-t04_960.webp
towel-simultaneous-t05,table1,Table 1 (main results),Towel folding,"Towel folding, simultaneous",towel_simultaneous,05,5,5,GPT-6 Astra,Codex CLI,high,both,confirmed,"two arms in a common frame; session record: ARMS=left,right",success,explicit success,explicit success,no,no,recorded,17.41697388490041,5212.728,7.542992,20260909_162537,towel-simultaneous-t05,img/trials/towel-simultaneous-t05_480.webp,img/trials/towel-simultaneous-t05_960.webp
t2-astra_low-t01,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, low effort",gpt6_astra_low,01,1,5,GPT-6 Astra,Codex CLI,low,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,7.447,2704.68,3.7668,20260910_162434,t2-astra_low-t01,img/trials/t2-astra_low-t01_480.webp,img/trials/t2-astra_low-t01_960.webp
t2-astra_low-t02,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, low effort",gpt6_astra_low,02,2,5,GPT-6 Astra,Codex CLI,low,right,confirmed,single arm (right); session record,success,explicit success,explicit success,no,no,recorded,19.007,7720.409,9.5623,20260910_162606,t2-astra_low-t02,img/trials/t2-astra_low-t02_480.webp,img/trials/t2-astra_low-t02_960.webp
t2-astra_low-t03,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, low effort",gpt6_astra_low,03,3,5,GPT-6 Astra,Codex CLI,low,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,6.034,2805.223,3.6335,20260910_163300,t2-astra_low-t03,img/trials/t2-astra_low-t03_480.webp,img/trials/t2-astra_low-t03_960.webp
t2-astra_low-t04,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, low effort",gpt6_astra_low,04,4,5,GPT-6 Astra,Codex CLI,low,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,6.297,1438.472,2.1541,20260910_164107,t2-astra_low-t04,img/trials/t2-astra_low-t04_480.webp,img/trials/t2-astra_low-t04_960.webp
t2-astra_low-t05,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, low effort",gpt6_astra_low,05,5,5,GPT-6 Astra,Codex CLI,low,right,confirmed,single arm (right); session record,success,explicit success,explicit success,no,no,recorded,10.934,3775.807,4.821,20260910_164636,t2-astra_low-t05,img/trials/t2-astra_low-t05_480.webp,img/trials/t2-astra_low-t05_960.webp
t2-astra_medium-t01,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, medium effort",gpt6_astra_medium,01,1,5,GPT-6 Astra,Codex CLI,medium,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,6.327,1842.494,2.7566,20260910_165416,t2-astra_medium-t01,img/trials/t2-astra_medium-t01_480.webp,img/trials/t2-astra_medium-t01_960.webp
t2-astra_medium-t02,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, medium effort",gpt6_astra_medium,02,2,5,GPT-6 Astra,Codex CLI,medium,right,confirmed,single arm (right); session record,success,explicit success,explicit success,no,no,recorded,15.441,5800.821,7.4837,20260910_165855,t2-astra_medium-t02,img/trials/t2-astra_medium-t02_480.webp,img/trials/t2-astra_medium-t02_960.webp
t2-astra_medium-t03,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, medium effort",gpt6_astra_medium,03,3,5,GPT-6 Astra,Codex CLI,medium,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,8.783,2512.832,3.465,20260910_170151,t2-astra_medium-t03,img/trials/t2-astra_medium-t03_480.webp,img/trials/t2-astra_medium-t03_960.webp
t2-astra_medium-t04,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, medium effort",gpt6_astra_medium,04,4,5,GPT-6 Astra,Codex CLI,medium,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,7.599,2955.977,3.8571,20260910_171245,t2-astra_medium-t04,img/trials/t2-astra_medium-t04_480.webp,img/trials/t2-astra_medium-t04_960.webp
t2-astra_medium-t05,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, medium effort",gpt6_astra_medium,05,5,5,GPT-6 Astra,Codex CLI,medium,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,7.646,2010.869,2.8957,20260910_172427,t2-astra_medium-t05,img/trials/t2-astra_medium-t05_480.webp,img/trials/t2-astra_medium-t05_960.webp
t2-astra_high-t01,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, high effort",gpt6_astra_high,01,1,5,GPT-6 Astra,Codex CLI,high,right,confirmed,single arm (right); session record,success,explicit success,explicit success,no,no,recorded,8.9,4024.108,5.1898,20260910_171617,t2-astra_high-t01,img/trials/t2-astra_high-t01_480.webp,img/trials/t2-astra_high-t01_960.webp
t2-astra_high-t02,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, high effort",gpt6_astra_high,02,2,5,GPT-6 Astra,Codex CLI,high,right,confirmed,single arm (right); session record,success,explicit success,explicit success,no,no,recorded,10.61,3137.029,4.3879,20260910_172626,t2-astra_high-t02,img/trials/t2-astra_high-t02_480.webp,img/trials/t2-astra_high-t02_960.webp
t2-astra_high-t03,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, high effort",gpt6_astra_high,03,3,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,9.003,2584.488,3.7162,20260910_173323,t2-astra_high-t03,img/trials/t2-astra_high-t03_480.webp,img/trials/t2-astra_high-t03_960.webp
t2-astra_high-t04,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, high effort",gpt6_astra_high,04,4,5,GPT-6 Astra,Codex CLI,high,right,confirmed,single arm (right); session record,success,explicit success,explicit success,no,no,recorded,9.681,2811.505,3.9589,20260910_173900,t2-astra_high-t04,img/trials/t2-astra_high-t04_480.webp,img/trials/t2-astra_high-t04_960.webp
t2-astra_high-t05,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,"GPT-6 Astra, high effort",gpt6_astra_high,05,5,5,GPT-6 Astra,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,7.924,3940.922,5.0753,20260910_174339,t2-astra_high-t05,img/trials/t2-astra_high-t05_480.webp,img/trials/t2-astra_high-t05_960.webp
t2-sol_high-t01,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Sol,gpt56_sol,01,1,5,GPT-5.6 Sol,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,15.164,7813.353,4.3483,20260910_121811,t2-sol_high-t01,img/trials/t2-sol_high-t01_480.webp,img/trials/t2-sol_high-t01_960.webp
t2-sol_high-t02,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Sol,gpt56_sol,02,2,5,GPT-5.6 Sol,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,15.469,7833.817,4.2437,20260910_124138,t2-sol_high-t02,img/trials/t2-sol_high-t02_480.webp,img/trials/t2-sol_high-t02_960.webp
t2-sol_high-t03,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Sol,gpt56_sol,03,3,5,GPT-5.6 Sol,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,19.263,9717.873,5.2999,20260910_130635,t2-sol_high-t03,img/trials/t2-sol_high-t03_480.webp,img/trials/t2-sol_high-t03_960.webp
t2-sol_high-t04,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Sol,gpt56_sol,04,4,5,GPT-5.6 Sol,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,12.29,6156.406,3.4011,20260910_134009,t2-sol_high-t04,img/trials/t2-sol_high-t04_480.webp,img/trials/t2-sol_high-t04_960.webp
t2-sol_high-t05,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Sol,gpt56_sol,05,5,5,GPT-5.6 Sol,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,9.062,4118.059,2.3967,20260910_135325,t2-sol_high-t05,img/trials/t2-sol_high-t05_480.webp,img/trials/t2-sol_high-t05_960.webp
t2-terra_high-t01,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Terra,gpt56_terra,01,1,5,GPT-5.6 Terra,Codex CLI,high,left,confirmed,single arm (left); session record,failure,explicit failure,explicit failure,no,no,recorded,30.428,6324.461,2.0396,20260910_140416,t2-terra_high-t01,img/trials/t2-terra_high-t01_480.webp,img/trials/t2-terra_high-t01_960.webp
t2-terra_high-t02,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Terra,gpt56_terra,02,2,5,GPT-5.6 Terra,Codex CLI,high,left,confirmed,single arm (left); session record,failure,explicit failure,explicit success,yes,no,recorded,22.061,5140.463,1.8564,20260910_143952,t2-terra_high-t02,img/trials/t2-terra_high-t02_480.webp,img/trials/t2-terra_high-t02_960.webp
t2-terra_high-t03,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Terra,gpt56_terra,03,3,5,GPT-5.6 Terra,Codex CLI,high,left,confirmed,single arm (left); session record,failure,unclear,unclear,no,no,recorded,21.396,8986.255,2.6203,20260910_150447,t2-terra_high-t03,img/trials/t2-terra_high-t03_480.webp,img/trials/t2-terra_high-t03_960.webp
t2-terra_high-t04,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Terra,gpt56_terra,04,4,5,GPT-5.6 Terra,Codex CLI,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,18.992,6282.276,1.9752,20260910_153132,t2-terra_high-t04,img/trials/t2-terra_high-t04_480.webp,img/trials/t2-terra_high-t04_960.webp
t2-terra_high-t05,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Terra,gpt56_terra,05,5,5,GPT-5.6 Terra,Codex CLI,high,left,confirmed,single arm (left); session record,failure,explicit failure,explicit failure,no,no,recorded,14.416,2697.669,0.9924,20260910_160051,t2-terra_high-t05,img/trials/t2-terra_high-t05_480.webp,img/trials/t2-terra_high-t05_960.webp
t2-luna_high-t01,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Luna,gpt56_luna,01,1,5,GPT-5.6 Luna,Codex CLI,high,right,confirmed,single arm (right); session record,failure,explicit failure,explicit failure,no,no,none,,,,20260910_140859,t2-luna_high-t01,img/trials/t2-luna_high-t01_480.webp,img/trials/t2-luna_high-t01_960.webp
t2-luna_high-t02,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Luna,gpt56_luna,02,2,5,GPT-5.6 Luna,Codex CLI,high,right,confirmed,single arm (right); session record,failure,no report,no report,no,no,none,,,,20260910_145339,t2-luna_high-t02,img/trials/t2-luna_high-t02_480.webp,img/trials/t2-luna_high-t02_960.webp
t2-luna_high-t03,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Luna,gpt56_luna,03,3,5,GPT-5.6 Luna,Codex CLI,high,right,confirmed,single arm (right); session record,failure,no report,no report,no,no,none,,,,20260910_175025,t2-luna_high-t03,img/trials/t2-luna_high-t03_480.webp,img/trials/t2-luna_high-t03_960.webp
t2-luna_high-t04,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Luna,gpt56_luna,04,4,5,GPT-5.6 Luna,Codex CLI,high,left,confirmed,single arm (left); session record,failure,no report,no report,no,no,none,,,,20260910_175314,t2-luna_high-t04,img/trials/t2-luna_high-t04_480.webp,img/trials/t2-luna_high-t04_960.webp
t2-luna_high-t05,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,GPT-5.6 Luna,gpt56_luna,05,5,5,GPT-5.6 Luna,Codex CLI,high,left,confirmed,single arm (left); session record,failure,explicit failure,explicit failure,no,no,none,,,,20260911_152948,t2-luna_high-t05,img/trials/t2-luna_high-t05_480.webp,img/trials/t2-luna_high-t05_960.webp
t2-opus5_high-t01,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,Claude Opus 5,claude_opus5,01,1,5,Claude Opus 5,Claude Code,high,left,confirmed,single arm (left); session record,success,explicit success,explicit success,no,no,recorded,19.171,9050.08,7.9036,20260910_181307,t2-opus5_high-t01,img/trials/t2-opus5_high-t01_480.webp,img/trials/t2-opus5_high-t01_960.webp
t2-opus5_high-t02,table2,"Table 2 (agent, model and thinking effort)",Two pair assembly,Claude Opus 5,claude_opus5,02,2,5,Claude Opus 5,Claude Code,high,right,confirmed,single arm (right); session record,success,explicit success,explicit success,no,no,recorded,31.896,16724.851,13.0254,20260910_181323,t2-opus5_high-t02,img/trials/t2-opus5_high-t02_480.webp,img/trials/t2-opus5_high-t02_960.webp
